obra_ABL,referencia_candidata,arquivos_existentes,status_revisado,nota_inicial
Queda que as mulheres têm para os tolos,miscelanea/mams02.txt,miscelanea/mams02.txt,tradução identificada e excluída do corpus autoral,excluído: tradução
Desencantos,teatro/matt03.txt,teatro/matt03.txt,correspondência direta no pacote,localizado
Teatro,teatro/*.txt,teatro/matt01.txt | teatro/matt02.txt | teatro/matt03.txt | teatro/matt04.txt | teatro/matt05.txt | teatro/matt06.txt | teatro/matt07.txt | teatro/matt08.txt | teatro/matt09.txt | teatro/matt10.txt,material relacionado localizado; equivalência integral não verificada,representado por peças; sem volume único
Quase ministro,teatro/matt05.txt,teatro/matt05.txt,correspondência direta no pacote,localizado
Crisálidas,poesia/maps01.txt,poesia/maps01.txt,correspondência direta no pacote,localizado
Os deuses de casaca,teatro/matt06.txt,teatro/matt06.txt,correspondência direta no pacote,localizado
Falenas,poesia/maps02.txt,poesia/maps02.txt,correspondência direta no pacote,localizado
Contos fluminenses,contos/macn001.txt,contos/macn001.txt,correspondência direta no pacote,localizado como coletânea
Ressurreição,romance/marm01.txt,romance/marm01.txt,correspondência direta no pacote,localizado
Histórias da meia-noite,contos/macn002.txt,contos/macn002.txt,correspondência direta no pacote,localizado como coletânea
A mão e a luva,romance/marm02.txt,romance/marm02.txt,correspondência direta no pacote,localizado
Americanas,poesia/maps03.txt,poesia/maps03.txt,correspondência direta no pacote,localizado
Helena,romance/marm03.txt,romance/marm03.txt,correspondência direta no pacote,localizado
Iaiá Garcia,romance/marm04.txt,romance/marm04.txt,correspondência direta no pacote,localizado
Memórias póstumas de Brás Cubas,romance/marm05.txt,romance/marm05.txt,correspondência direta no pacote,localizado
"Tu, só tu, puro amor",teatro/matt08.txt,teatro/matt08.txt,correspondência direta no pacote,"localizado; ABL data 1881, NLTK 1880"
Papéis avulsos,contos/macn003.txt,contos/macn003.txt,correspondência direta no pacote,localizado como coletânea
Histórias sem data,contos/macn004.txt,contos/macn004.txt,correspondência direta no pacote,localizado como coletânea
Quincas Borba,romance/marm07.txt,romance/marm07.txt,correspondência direta no pacote,localizado
Várias histórias,contos/macn005.txt,contos/macn005.txt,correspondência direta no pacote,localizado como coletânea
Páginas recolhidas,contos/macn006.txt,contos/macn006.txt,correspondência direta no pacote,localizado como coletânea
Dom Casmurro,romance/marm08.txt,romance/marm08.txt,correspondência direta no pacote,localizado
Poesias completas,poesia/*.txt,poesia/maps01.txt | poesia/maps02.txt | poesia/maps03.txt | poesia/maps04.txt | poesia/maps05.txt | poesia/maps06.txt | poesia/maps07.txt,material relacionado localizado; equivalência integral não verificada,conteúdos poéticos distribuídos; edição integral não verificada
Esaú e Jacó,romance/marm09.txt,romance/marm09.txt,correspondência direta no pacote,localizado
Relíquias de casa velha,contos/macn007.txt,contos/macn007.txt,correspondência direta no pacote,localizado como coletânea
Memorial de Aires,romance/marm10.txt,romance/marm10.txt,correspondência direta no pacote,localizado
Crítica (1910),critica/*.txt,critica/mact01.txt | critica/mact02.txt | critica/mact03.txt | critica/mact04.txt | critica/mact05.txt | critica/mact06.txt | critica/mact07.txt | critica/mact08.txt | critica/mact09.txt | critica/mact10.txt | critica/mact11.txt | critica/mact12.txt | critica/mact13.txt | critica/mact14.txt | critica/mact15.txt | critica/mact16.txt | critica/mact17.txt | critica/mact18.txt | critica/mact19.txt | critica/mact20.txt | critica/mact21.txt | critica/mact22.txt | critica/mact23.txt | critica/mact24.txt | critica/mact25.txt | critica/mact26.txt | critica/mact27.txt | critica/mact28.txt | critica/mact29.txt | critica/mact30.txt | critica/mact31.txt | critica/mact32.txt | critica/mact33.txt | critica/mact34.txt | critica/mact35.txt | critica/mact36.txt | critica/mact37.txt | critica/mact38.txt | critica/mact39.txt | critica/mact40.txt | critica/mact41.txt | critica/mact42.txt | critica/mact43.txt | critica/mact44.txt | critica/mact45.txt,material relacionado localizado; equivalência integral não verificada,peças críticas; edição integral não verificada
